Tour Code; Tour Description; Year; Tourn.#; Player #; Course #; Permanent Tournament #; Player First Name; Player Last Name; Round; Tournament Name;Course Name; Hole; Hole Score; Par Value; Yardage;  Shot; Shot Type(S/P/D);# of Strokes; From Location(Scorer); From Location(Laser); To Location(Scorer); To Location(Laser); Distance; Distance to Pin; In the Hole Flag; Around the Green Flag;1st Putt Flag; Distance to Hole after the Shot; Time; Lie; Elevation; Slope; X Coordinate; Y Coordinate;  Z Coordinate; Distance from Center; Distance from Edge
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;04; 4;04;440;04;S;1;Green;Unknown;;;00018;00018;Y;N;Y;00000000000;1334;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;05; 5;04;520;01;S;1;Tee Box;;Tree Outline;Unknown;09468;18576;N;N;;00000009062;1338;Good;With;Level;  8,962.0910;  8,539.5020;    506.9130;01210;00793
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;05; 5;04;520;02;S;1;Primary Rough;Unknown;Primary Rough;Right Rough;02394;09062;N;N;;00000006697;1342;N/A;With;Level;  9,160.1920;  8,557.8650;    492.6040;00594;00359
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;05; 5;04;520;03;S;1;Primary Rough;Right Rough;Fairway;Right Fairway;06148;06697;N;Y;;00000000560;1344;N/A;With;Level;  9,670.0510;  8,508.6980;    482.2590;00155;00284
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;05; 5;04;520;04;S;1;Fairway;Right Fairway;Green;Unknown;00565;00560;N;N;;00000000015;1347;Good;With;Level;  9,716.6230;  8,515.2140;    483.5450;00017;00156
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;05; 5;04;520;05;S;1;Green;Unknown;;;00015;00015;Y;N;Y;00000000000;1348;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;01;S;1;Tee Box;;Green;Unknown;07743;07740;N;N;;00000000136;1355;Good;With;Level;  9,824.9960;  8,826.4180;    476.0920;00138;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;02;S;1;Green;Unknown;Green;Unknown;00177;00136;N;N;Y;00000000040;1400;Good;With;Level;  9,837.0720;  8,834.8680;    476.1690;00038;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;03;S;1;Green;Unknown;;;00040;00040;Y;N;;00000000000;1402;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;01;S;1;Tee Box;;Fairway;Right Fairway;09971;15804;N;N;;00000005903;1404;Good;With;Level;  8,922.8890;  9,004.6410;    497.6430;00110;00200
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;02;S;1;Fairway;Right Fairway;Green;Unknown;05846;05903;N;N;;00000000238;1408;Good;With;Uphill;  8,459.0290;  8,857.8320;    523.0460;00233;00266
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;03;S;1;Green;Unknown;Green;Unknown;00268;00238;N;N;Y;00000000033;1414;Good;With;Level;  8,458.6900;  8,835.5420;    523.4300;00018;00205
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;04;S;1;Green;Unknown;;;00033;00033;Y;N;;00000000000;1414;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;01;S;1;Tee Box;;Fairway;Left Fairway;10186;14544;N;N;;00000004326;1418;Good;With;Level;  8,403.7990;  9,402.7220;    525.8150;00174;00352
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;02;S;1;Fairway;Left Fairway;Green;Unknown;04372;04326;N;N;;00000000228;1422;Good;With;Level;  8,263.9250;  9,739.1370;    522.1520;00225;00303
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;03;S;1;Green;Unknown;Green;Unknown;00236;00228;N;N;Y;00000000003;1426;Good;With;Level;  8,283.2740;  9,742.6320;    521.5970;00005;00119
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;04;S;1;Green;Unknown;;;00003;00003;Y;N;;00000000000;1426;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;01;S;1;Tee Box;;Fairway;Right Fairway;11510;21168;N;N;;00000009776;1430;Good;With;Level;  8,984.1170;  9,562.6830;    494.6860;00360;00299
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;02;S;1;Fairway;Right Fairway;Green Side Bunker;Right Green Side Bunker;09914;09776;N;Y;;00000001059;1435;Good;With;Level;  9,809.2850;  9,525.2140;    477.1730;01058;00129
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;03;S;1;Green Side Bunker;Right Green Side Bunker;Green;Unknown;00844;01059;N;N;;00000000231;1440;Good;With;Uphill;  9,793.7400;  9,593.6920;    481.0890;00226;00255
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;04;S;1;Green;Unknown;Green;Unknown;00227;00231;N;N;Y;00000000004;1442;Good;With;Level;  9,796.9700;  9,612.3410;    481.4660;00005;00130
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;05;S;1;Green;Unknown;;;00004;00004;Y;N;;00000000000;1442;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;01;S;1;Tee Box;;Fairway;Right Fairway;10707;16524;N;N;;00000005813;1448;Good;With;Level; 11,133.1420;  9,972.5470;    507.3300;00055;00184
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;02;S;1;Fairway;Right Fairway;Green;Unknown;06064;05813;N;N;;00000000388;1453;Good;With;Level; 11,618.6330;  9,834.2990;    530.9280;00305;00110
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;03;S;1;Green;Unknown;Green;Unknown;00397;00388;N;N;Y;00000000020;1457;Good;With;Level; 11,603.0050;  9,863.4470;    529.5230;00009;00138
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;04;S;1;Green;Unknown;;;00020;00020;Y;N;;00000000000;1458;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;11; 3;03;197;01;S;1;Tee Box;;Green;Unknown;06343;06444;N;N;;00000000121;1500;Good;With;Level; 12,159.0470;  9,878.3220;    544.2580;00022;00153
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;11; 3;03;197;02;S;1;Green;Unknown;Green;Unknown;00148;00121;N;N;Y;00000000022;1506;Good;With;Level; 12,170.1090;  9,872.8820;    544.7500;00002;00241
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;11; 3;03;197;03;S;1;Green;Unknown;;;00022;00022;Y;N;;00000000000;1506;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;12; 3;04;391;01;S;1;Tee Box;;Primary Rough;Left Rough;11869;14436;N;N;;00000002899;1510;Good;With;Level; 11,292.3050;  9,578.8980;    508.7900;00944;00501
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;12; 3;04;391;02;S;1;Primary Rough;Left Rough;Green;Unknown;02822;02899;N;N;;00000000079;1515;N/A;With;Level; 11,084.7010;  9,689.2810;    510.3260;00041;01248
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;12; 3;04;391;03;S;1;Green;Unknown;;;00079;00079;Y;N;Y;00000000000;1518;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;13; 4;04;476;01;S;1;Tee Box;;Fairway;Right Fairway;10909;16848;N;N;;00000006020;1520;Good;With;Level; 11,719.6930;  9,410.5660;    525.4010;00310;00170
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;13; 4;04;476;02;S;1;Fairway;Right Fairway;Green;Unknown;06309;06020;N;N;;00000000313;1526;Good;With;Uphill; 12,234.4370;  9,513.9260;    552.3450;00151;00319
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;13; 4;04;476;03;S;1;Green;Unknown;Green;Unknown;00318;00313;N;N;Y;00000000009;1530;Good;With;Level; 12,212.4030;  9,499.1860;    551.3730;00008;00220
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;13; 4;04;476;04;S;1;Green;Unknown;;;00009;00009;Y;N;;00000000000;1530;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;14; 3;04;442;01;S;1;Tee Box;;Tree Outline;Unknown;11209;16272;N;N;;00000005208;1533;Good;With;Level; 11,338.3020;  9,185.3480;    513.6790;01297;00971
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;14; 3;04;442;02;S;1;Other;Unknown;Green;Unknown;05011;05208;N;N;;00000000223;1539;N/A;Above Ball;Level; 10,928.6990;  9,266.3150;    504.8510;00051;00287
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;14; 3;04;442;03;S;1;Green;Unknown;;;00223;00223;Y;N;Y;00000000000;1542;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;01;S;1;Tee Box;;Fairway;Left Fairway;09727;19044;N;N;;00000009283;1546;Good;With;Level; 11,514.1270;  8,992.6950;    500.9660;00113;00521
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;02;S;1;Fairway;Left Fairway;Green;Unknown;08749;09283;N;N;;00000000598;1552;Good;Above Ball;Level; 12,177.0740;  8,693.8010;    553.4840;00175;00234
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;03;S;1;Green;Unknown;Green;Unknown;00819;00598;N;N;Y;00000000219;1557;Good;With;Level; 12,216.3740;  8,637.9830;    554.9770;00104;00087
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;04;S;1;Green;Unknown;Green;Unknown;00268;00219;N;N;;00000000045;1559;Good;With;Level; 12,205.7470;  8,657.6500;    554.7680;00016;00153
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;05;S;1;Green;Unknown;;;00045;00045;Y;N;;00000000000;1601;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;01;S;1;Tee Box;;Primary Rough;Left Rough;10964;17172;N;N;;00000006285;1603;Good;With;Level; 11,293.9870;  8,441.0350;    506.1920;00833;00510
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;02;S;1;Primary Rough;Left Rough;Green;Unknown;06418;06285;N;N;;00000000133;1609;N/A;Below Ball;Downhill; 10,776.8740;  8,575.6250;    482.8590;00054;00131
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;03;S;1;Green;Unknown;Green;Unknown;00155;00133;N;N;Y;00000000017;1614;Good;With;Level; 10,788.2540;  8,569.4820;    482.6760;00003;00144
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;04;S;1;Green;Unknown;;;00017;00017;Y;N;;00000000000;1614;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;17; 4;04;470;01;S;1;Tee Box;;Primary Rough;Right Rough;10986;16524;N;N;;00000005791;1617;Good;With;Level; 10,693.6660;  9,212.3670;    485.5580;01095;00666
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;17; 4;04;470;02;S;1;Primary Rough;Right Rough;Green;Unknown;05581;05791;N;N;;00000000404;1623;N/A;With;Level; 10,636.8410;  9,673.9390;    480.5940;00376;00157
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;17; 4;04;470;03;S;1;Green;Unknown;Green;Unknown;00424;00404;N;N;Y;00000000026;1626;Good;With;Level; 10,603.5370;  9,685.7980;    479.6880;00024;00170
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;17; 4;04;470;04;S;1;Green;Unknown;;;00026;00026;Y;N;;00000000000;1626;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;01;S;1;Tee Box;;Green Side Bunker;Front Left Green Side Bunker;07782;07992;N;Y;;00000000541;1630;Good;With;Level; 10,180.4200;  9,815.6750;    487.6190;00482;00177
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;02;S;1;Green Side Bunker;Front Left Green Side Bunker;Green;Unknown;00549;00541;N;N;;00000000012;1633;Good;With;Level; 10,166.8770;  9,859.0650;    492.9170;00011;00199
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;03;S;1;Green;Unknown;;;00012;00012;Y;N;Y;00000000000;1634;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;01;S;1;Tee Box;;Fairway;Left Fairway;09977;15444;N;N;;00000005512;1245;Good;With;Level;  9,148.3500;  9,773.5200;    478.4420;00412;00006
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;02;S;1;Fairway;Left Fairway;Green;Unknown;05493;05512;N;N;;00000000585;1250;Unknown;With;Level;  8,692.0310;  9,799.4140;    504.3920;00587;00019
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;03;S;1;Green;Unknown;Green;Unknown;00591;00585;N;N;Y;00000000002;1253;Good;With;Level;  8,695.4550;  9,848.5790;    503.9670;00003;00184
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;04;S;1;Green;Unknown;;;00002;00002;Y;N;;00000000000;1254;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;01;S;1;Tee Box;;Green;Unknown;07998;07812;N;N;;00000000289;1257;Good;With;Level;  9,233.7350; 10,029.0350;    491.2440;00230;00245
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;02;S;1;Green;Unknown;Green;Unknown;00327;00289;N;N;Y;00000000033;1303;Good;With;Level;  9,219.8450; 10,005.5920;    490.6650;00025;00119
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;03;S;1;Green;Unknown;;;00033;00033;Y;N;;00000000000;1304;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;01;S;1;Tee Box;;Fairway;Left Fairway;09360;13464;N;N;;00000004202;1306;Good;With;Level;  8,509.5470; 10,029.1980;    507.0410;00378;00088
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;02;S;1;Fairway;Left Fairway;Green;Unknown;04425;04202;N;N;;00000000246;1310;Good;With;Level;  8,142.6640; 10,063.1200;    522.1300;00098;00206
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;03;S;1;Green;Unknown;Green;Unknown;00281;00246;N;N;Y;00000000031;1314;Good;With;Level;  8,164.6820; 10,071.0460;    521.4290;00003;00095
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;04;S;1;Green;Unknown;;;00031;00031;Y;N;;00000000000;1315;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;04; 5;04;440;01;S;1;Tee Box;;Primary Rough;Right Rough;10191;15768;N;N;;00000005529;1317;Good;With;Level;  8,084.9890;  9,300.0340;    511.0050;00519;00124
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;04; 5;04;440;02;S;1;Primary Rough;Right Rough;Green Side Bunker;Front Left Green Side Bunker;05116;05529;N;Y;;00000000732;1322;N/A;With;Level;  8,159.6240;  8,880.5280;    525.2330;00537;00164
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;04; 5;04;440;03;S;1;Green Side Bunker;Front Left Green Side Bunker;Green;Unknown;00811;00732;N;N;;00000000091;1325;Good;With;Level;  8,111.9940;  8,832.6830;    528.4830;00015;00168
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;04; 5;04;440;04;S;1;Green;Unknown;Green;Unknown;00128;00091;N;N;Y;00000000032;1327;Good;With;Level;  8,114.5330;  8,843.0430;    528.2220;00010;00143
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;04; 5;04;440;05;S;1;Green;Unknown;;;00032;00032;Y;N;;00000000000;1328;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;01;S;1;Tee Box;;Fairway;Right Fairway;10975;18576;N;N;;00000007594;1330;Good;With;Level;  9,091.9660;  8,615.9910;    494.3690;00057;00288
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;02;S;1;Fairway;Right Fairway;Green;Unknown;07433;07594;N;N;;00000000164;1335;Unknown;With;Level;  9,702.7730;  8,513.8680;    483.2790;00027;00101
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;03;S;1;Green;Unknown;Green;Unknown;00160;00164;N;N;Y;00000000006;1340;Good;With;Level;  9,716.0670;  8,514.1870;    483.5380;00004;00166
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;04;S;1;Green;Unknown;;;00006;00006;Y;N;;00000000000;1340;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;01;S;1;Tee Box;;Green Side Bunker;Left Green Side Bunker;07471;07740;N;Y;;00000000673;1345;Good;With;Level;  9,809.0180;  8,783.6280;    472.6150;00601;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;02;S;1;Green Side Bunker;Left Green Side Bunker;Green;Unknown;00544;00673;N;N;;00000000130;1351;Good;With;Level;  9,830.2940;  8,823.5510;    475.9060;00108;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;03;S;1;Green;Unknown;Green;Unknown;00133;00130;N;N;Y;00000000004;1354;Good;With;Level;  9,834.1210;  8,833.9830;    476.1950;00003;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;04;S;1;Green;Unknown;;;00004;00004;Y;N;;00000000000;1354;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;01;S;1;Tee Box;;Primary Rough;Left Rough;09793;15804;N;N;;00000005805;1355;Good;With;Level;  8,933.8520;  8,935.7740;    497.9300;00714;00178
R;PGA TOUR;2011;410;02206;688;060;David;Toms;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;02;S;1;Primary Rough;Left Rough;Green;Unknown;05959;05805;N;N;;00000000157;1400;N/A;With;Level;  8,449.0770;  8,831.1040;    523.4470;00033;00279
